Question,Option1,Option2,Option3,Option4,Answer,Fact
"बड़े-बड़े बैनर, पोस्टर और इंजीनियरिंग मैप्स (CAD) प्रिंट करने के लिए किसका इस्तेमाल होता है?",लेज़र प्रिंटर,इंकजेट प्रिंटर,प्लॉटर (Plotter),डॉट मैट्रिक्स,3,"प्लॉटर (Plotter) भी एक आउटपुट डिवाइस (बड़ा प्रिंटर) है, जो हाई-क्वालिटी के बड़े ग्राफ़िक्स और फ्लेक्स बैनर छापने के काम आता है।"
कंप्यूटर में SMPS का फुल फॉर्म क्या है?,Simple Mode Power Supply,Switched Mode Power Supply,System Mode Power Supply,Switched Main Power Supply,2,"SMPS (Switched Mode Power Supply) कंप्यूटर के कैबिनेट में लगा होता है, जो बोर्ड के सभी पुर्जों को उनकी ज़रूरत के हिसाब से पावर (Voltage) सप्लाई करता है।"
लाइट कटने (बिजली जाने) पर कंप्यूटर को अचानक बंद होने से कौन बचाता है?,SMPS,UPS (Uninterruptible Power Supply),CPU,RAM,2,UPS (Uninterruptible Power Supply) एक बैटरी बैकअप सिस्टम है जो लाइट कटने पर कंप्यूटर को 15-20 मिनट तक ऑन रखता है।
कंप्यूटर ऑन करते समय BIOS द्वारा हार्डवेयर की चेकिंग करने की प्रक्रिया क्या कहलाती है?,बूटिंग,POST (Power On Self Test),डीबगिंग,प्रोसेसिंग,2,"कंप्यूटर चालू होते ही BIOS सबसे पहले POST (Power On Self Test) करता है, ताकि चेक हो सके कि सभी पार्ट्स सही से जुड़े हैं या नहीं।"
सिस्टम को रीबूट (Reboot) या टास्क मैनेजर खोलने के लिए कौन-सी 3 कुंजियां (Keys) एक साथ दबाई जाती हैं?,Ctrl + Shift + Esc,Ctrl + Alt + Del,Alt + F4 + Del,Ctrl + Win + Del,2,"कंप्यूटर हैंग होने पर या टास्क मैनेजर खोलने के लिए Ctrl, Alt और Delete कुंजियों को एक साथ दबाया जाता है। इसे 'सिक्योरिटी की' भी कहते हैं।"
किसी भी खुली हुई विंडो या प्रोग्राम को बंद (Close) करने की शॉर्टकट की क्या है?,Ctrl + C,Alt + F4,Shift + Esc,Win + X,2,Alt + F4 दबाने से सक्रिय (Active) प्रोग्राम बंद हो जाता है। डेस्कटॉप पर इसे दबाने से शटडाउन (Shutdown) का ऑप्शन आ जाता है।
डॉक्यूमेंट के पूरे टेक्स्ट (All text) को एक साथ सिलेक्ट करने की शॉर्टकट की क्या है?,Ctrl + S,Ctrl + X,Ctrl + A (Select All),Ctrl + Z,3,"पूरी फाइल, टेक्स्ट या सभी फोल्डर्स को एक ही बार में चुनने (Select All) के लिए Ctrl के साथ A (Ctrl + A) दबाया जाता है।"
पहले से सेव की गई फाइल को किसी दूसरे नाम या दूसरी जगह पर सेव करने (Save As) के लिए किस फंक्शन की का इस्तेमाल होता है?,F1,F2,F5,F12 (Save As),4,"MS Word या Excel में F12 बटन दबाने से 'Save As' का डायलॉग बॉक्स खुल जाता है, जिससे आप फाइल को नया नाम दे सकते हैं।"
किसी भी सॉफ्टवेयर में हेल्प (Help) मेनू खोलने के लिए किस फंक्शन की (Key) का उपयोग किया जाता है?,F1,F3,F7,F9,1,कंप्यूटर में F1 की (Key) को 'यूनिवर्सल हेल्प की' कहा जाता है। इसे दबाते ही उस सॉफ्टवेयर का सहायता (Help) पेज खुल जाता है।
स्टार्ट मेनू (Start Menu) ओपन करने के लिए कीबोर्ड की कौन-सी की (Key) दबाई जाती है?,Alt Key,Ctrl Key,Windows Key (Win Key),Shift Key,3,"कीबोर्ड में विंडो के लोगो (Logo) वाली की (Windows Key) होती है, जिसे दबाने पर सीधे स्टार्ट मेनू खुल जाता है।"
1 मेगाबाइट (1 MB) में कितने किलोबाइट (KB) होते हैं?,1000 KB,1024 KB,1024 बाइट्स,1048 KB,2,कंप्यूटर की मेमोरी में 1024 KB मिलकर 1 MB (Megabyte) बनाते हैं। (जैसे आपकी फोटो का साइज़ MB में होता है)।
1 गीगाबाइट (1 GB) किसके बराबर होता है?,1024 KB,1000 MB,1024 MB,1024 TB,3,1 GB (Gigabyte) में 1024 MB होते हैं। (जैसे हमें रोज़ 1.5 GB या 2 GB इंटरनेट डेटा मिलता है)।
1 टेराबाइट (1 TB) में कितने गीगाबाइट (GB) होते हैं?,1024 GB,1000 GB,1048 GB,1024 MB,1,1 TB (Terabyte) में 1024 GB होते हैं। आजकल कंप्यूटर की हार्ड डिस्क या SSD का साइज़ 1 TB या 2 TB में आता है।
MS Word की फाइल का एक्सटेंशन (File Extension) क्या होता है?,.txt,.xls,.docx,.ppt,3,फाइल एक्सटेंशन से पता चलता है कि फाइल किस सॉफ्टवेयर की है। MS Word की फाइलों के नाम के अंत में .docx लगा होता है।
MS Excel की स्प्रेडशीट फाइल का एक्सटेंशन क्या होता है?,.xls / .xlsx,.docx,.pptx,.pdf,1,एक्सेल की फाइल को स्प्रेडशीट या वर्कबुक कहते हैं। इसके नाम के आगे .xlsx (नए वर्ज़न में) या .xls (पुराने वर्ज़न में) जुड़ा होता है।
Notepad की टेक्स्ट फाइल का एक्सटेंशन क्या होता है?,.doc,.rtf,.txt,.bmp,3,नोटपैड (Notepad) एक बेसिक टेक्स्ट एडिटर है जिसमें केवल प्लेन टेक्स्ट लिखा जाता है। इसकी फाइल .txt एक्सटेंशन के साथ सेव होती है।
MS PowerPoint की फाइल का एक्सटेंशन क्या होता है?,.pptx,.ptx,.docx,.xls,1,पावरपॉइंट में प्रेजेंटेशन (Slides) बनाई जाती हैं। इसकी फाइल के नाम के अंत में .pptx एक्सटेंशन जुड़ा होता है।
कंप्यूटर में .JPG या .PNG एक्सटेंशन वाली फाइलें क्या होती हैं?,ऑडियो फाइल,वीडियो फाइल,इमेज / फोटो फाइल,टेक्स्ट फाइल,3,.JPG और .PNG इमेज फाइल के फॉर्मेट हैं। मोबाइल या कैमरे से खींची गई फोटो इसी फॉर्मेट में होती है।
कंप्यूटर में MP4 एक्सटेंशन वाली फाइल किस प्रकार की होती है?,टेक्स्ट,ऑडियो,वीडियो फाइल,इमेज,3,.MP4 एक बहुत ही लोकप्रिय वीडियो फाइल फॉर्मेट है। (जबकि .MP3 केवल ऑडियो यानी गानों के लिए होता है)।
PDF का फुल फॉर्म क्या है?,Portable Document Format,Printed Document Format,Public Document File,Private Data Format,1,"PDF (Portable Document Format) एडोब कंपनी द्वारा बनाया गया एक फाइल फॉर्मेट है, जिसमें टेक्स्ट और फोटो की डिज़ाइन कभी नहीं बदलती।"
डेस्कटॉप पर नया फोल्डर बनाने (Create New Folder) की शॉर्टकट की क्या है?,Ctrl + N,Ctrl + Shift + N,Alt + N,Win + N,2,विंडोज ऑपरेटिंग सिस्टम में बिना माउस के तुरंत एक नया फोल्डर बनाने के लिए कीबोर्ड से Ctrl + Shift + N एक साथ दबाएं।
विंडोज में किसी फाइल को हमेशा के लिए (Permanently) डिलीट करने की शॉर्टकट की क्या है?,Delete,Ctrl + Delete,Shift + Delete,Alt + Delete,3,"सिर्फ Delete दबाने से फाइल 'Recycle Bin' में जाती है, लेकिन Shift + Delete दबाने से फाइल हमेशा के लिए मिट जाती है।"
कंप्यूटर स्क्रीन का स्क्रीनशॉट (Screenshot) लेने के लिए कौन-सी की (Key) इस्तेमाल होती है?,PrtSc (Print Screen),Insert,Home,Scroll Lock,1,"कीबोर्ड पर PrtSc (Print Screen) बटन दबाने से पूरी स्क्रीन कॉपी हो जाती है, जिसे आप पेंट या वर्ड में पेस्ट करके सेव कर सकते हैं।"
"GUI में छोटे-छोटे चित्र जो किसी फाइल, फोल्डर या प्रोग्राम को दर्शाते हैं, क्या कहलाते हैं?",कर्सर,आइकॉन (Icons),टास्कबार,मेनू,2,"डेस्कटॉप पर दिखने वाले छोटे ग्राफिकल चित्र 'आइकॉन' कहलाते हैं, जिन पर डबल-क्लिक करके हम उस प्रोग्राम को खोलते हैं।"
विंडोज स्क्रीन के सबसे नीचे वाली पट्टी को क्या कहा जाता है?,टाइटल बार,मेनू बार,टास्कबार (Taskbar),स्टेटस बार,3,"डेस्कटॉप पर सबसे नीचे की पट्टी 'टास्कबार' कहलाती है। इसी पट्टी पर स्टार्ट बटन, खुला हुआ प्रोग्राम और समय दिखाई देता है।"
"नोटपैड (Notepad), वर्डपैड (WordPad) और पेंट (Paint) किस प्रकार के प्रोग्राम हैं?",MS Office के प्रोग्राम,सिस्टम सॉफ्टवेयर,विंडोज एक्सेसरीज (Windows Accessories),ओपन सोर्स,3,"ये सभी प्रोग्राम विंडोज ऑपरेटिंग सिस्टम के साथ फ्री आते हैं, इसलिए इन्हें 'विंडोज एक्सेसरीज' कहा जाता है।"
कंप्यूटर में BIOS (बायोस) का फुल फॉर्म क्या है?,Basic Input Output System,Broad Input Output System,Background Input Output System,Basic Internal Output System,1,"BIOS (Basic Input Output System) मदरबोर्ड की ROM चिप में सेव एक प्रोग्राम है, जो कंप्यूटर चालू होते ही हार्डवेयर की चेकिंग (POST) करता है।"
CMOS का पूरा नाम क्या है?,Common Metal Oxide Semiconductor,Complementary Metal Oxide Semiconductor,Computer Metal Oxide Semiconductor,Common Media Output System,2,"CMOS मदरबोर्ड पर लगी एक छोटी बैटरी होती है, जो कंप्यूटर बंद होने के बाद भी डेट, टाइम और बायोस की सेटिंग्स को सेव रखती है।"
दुनिया की पहली कंप्यूटर प्रोग्रामर किसे माना जाता है?,चार्ल्स बैबेज,लेडी एडा लवलेस (Lady Ada Lovelace),ग्रेस हॉपर,टिम बर्नर्स ली,2,लेडी एडा लवलेस ने चार्ल्स बैबेज के 'एनालिटिकल इंजन' के लिए दुनिया का पहला एल्गोरिदम (प्रोग्राम) लिखा था।
बाइनरी नंबर सिस्टम (Binary Number System) का बेस (Base) कितना होता है?,2,8,10,16,1,बाइनरी का बेस 2 होता है क्योंकि इसमें केवल दो ही अंक (0 और 1) होते हैं। कंप्यूटर सारा डेटा बाइनरी में ही प्रोसेस करता है।
ऑक्टल नंबर सिस्टम (Octal Number System) का बेस कितना होता है?,2,8,10,16,2,"ऑक्टल नंबर सिस्टम में 0 से लेकर 7 तक कुल 8 अंक होते हैं, इसलिए इसका बेस (Base) 8 होता है।"
हेक्साडेसिमल नंबर सिस्टम (Hexadecimal) का बेस क्या होता है?,2,8,10,16,4,हेक्साडेसिमल का बेस 16 होता है (0 से 9 तक नंबर और A से F तक अल्फाबेट)। इसका इस्तेमाल मैक एड्रेस (MAC Address) आदि में होता है।
इनमें से कौन-सा एक वेब ब्राउज़र (Web Browser) का उदाहरण है?,Google,Yahoo,Google Chrome,Bing,3,"Google Chrome, Mozilla Firefox और Safari वेब ब्राउज़र हैं, जिनकी मदद से हम इंटरनेट चलाते हैं (Google और Yahoo सर्च इंजन हैं)।"
इनमें से कौन-सा एक सर्च इंजन (Search Engine) का उदाहरण है?,Google,Mozilla Firefox,Opera,Internet Explorer,1,"Google, Bing और Yahoo सर्च इंजन हैं, जिनका काम इंटरनेट के विशाल डेटाबेस में से हमारी मनचाही जानकारी खोजकर लाना है।"
दुनिया का सबसे पहला कंप्यूटर नेटवर्क कौन-सा था?,Internet,ARPANET,NSFNET,Ethernet,2,"ARPANET (Advanced Research Projects Agency Network) दुनिया का पहला नेटवर्क था, जिसे 1969 में अमेरिकी रक्षा विभाग ने बनाया था।"
LAN का पूरा नाम क्या है?,Local Area Network,Local Access Network,Large Area Network,Logical Area Network,1,"LAN (Local Area Network) एक ऐसा नेटवर्क है जो एक छोटे क्षेत्र जैसे एक कमरे, ऑफिस या बिल्डिंग के कंप्यूटरों को आपस में जोड़ता है।"
WAN का पूरा नाम क्या है?,Wide Access Network,Wide Area Network,World Area Network,Wireless Area Network,2,"WAN (Wide Area Network) सबसे बड़ा नेटवर्क होता है, जो पूरी दुनिया या किसी बड़े देश के कंप्यूटरों को जोड़ता है। इंटरनेट WAN का ही उदाहरण है।"
MAN का पूरा नाम क्या है?,Main Area Network,Metropolitan Area Network,Micro Area Network,Medium Area Network,2,MAN (Metropolitan Area Network) वह नेटवर्क है जो एक पूरे शहर (City) के कंप्यूटरों या अलग-अलग LAN को आपस में जोड़ता है।
Wi-Fi का पूरा नाम क्या है?,Wireless Fidelity,Wireless Fiber,Wired Fidelity,Wireless Field,1,Wi-Fi (Wireless Fidelity) रेडियो तरंगों (Radio waves) की मदद से बिना तार के इंटरनेट चलाने और डेटा ट्रांसफर करने की तकनीक है।
IP का पूरा नाम क्या है?,Internet Provider,Internet Protocol,Internal Protocol,Intranet Protocol,2,"IP (Internet Protocol) नियमों का एक सेट है। इंटरनेट से जुड़े हर डिवाइस का एक यूनीक IP एड्रेस होता है, जिससे उसकी पहचान होती है।"
MAC एड्रेस का पूरा नाम क्या है?,Media Access Control,Main Access Control,Machine Access Control,Media Active Control,1,"MAC (Media Access Control) एड्रेस कंप्यूटर के नेटवर्क कार्ड (NIC) का फिजिकल एड्रेस होता है, जिसे बदला नहीं जा सकता।"
HTTP का फुल फॉर्म क्या है?,Hyper Text Transfer Protocol,Hyper Text Transport Protocol,Hyper Transfer Text Protocol,High Text Transfer Protocol,1,HTTP (Hyper Text Transfer Protocol) वह नियम है जिसके द्वारा इंटरनेट पर वेब पेज (HTML फाइलें) एक जगह से दूसरी जगह ट्रांसफर होते हैं।
HTTPS में 'S' का क्या अर्थ है?,System,Secure (सुरक्षित),Server,Software,2,"HTTPS का मतलब Hyper Text Transfer Protocol Secure है। यह दर्शाता है कि आप जिस वेबसाइट पर हैं, वहां आपका डेटा एन्क्रिप्टेड और सुरक्षित (Secure) है।"
HTML का पूरा नाम क्या है?,Hyper Text Markup Language,High Text Markup Language,Hyper Text Main Language,Hyper Transfer Markup Language,1,HTML (Hyper Text Markup Language) वह बेसिक प्रोग्रामिंग भाषा है जिसका इस्तेमाल वेबसाइट्स और वेब पेज बनाने के लिए किया जाता है।
ISP का पूरा नाम क्या है?,Internet Service Provider,Internet System Provider,Internal Service Provider,Internet Security Provider,1,"ISP (Internet Service Provider) वह कंपनी होती है जो हमें इंटरनेट की सुविधा देती है (जैसे- Jio, Airtel, BSNL)।"
मॉडेम (Modem) का फुल फॉर्म क्या है?,Modulation Demodulation,Modulator Demodulator,Modern Demodulator,Motor Demotor,2,Modem (Modulator Demodulator) डिजिटल सिग्नल को एनालॉग में और एनालॉग सिग्नल को डिजिटल में बदलने का काम करता है।
गूगल (Google) के संस्थापक कौन हैं?,लैरी पेज और सर्गेई ब्रिन,बिल गेट्स,मार्क जुकरबर्ग,स्टीव जॉब्स,1,लैरी पेज (Larry Page) और सर्गेई ब्रिन (Sergey Brin) ने 1998 में कैलिफोर्निया के एक गैरेज में गूगल सर्च इंजन की शुरुआत की थी।
माइक्रोसॉफ्ट (Microsoft) कंपनी के संस्थापक कौन हैं?,स्टीव जॉब्स,बिल गेट्स और पॉल एलन,जेफ बेजोस,एलोन मस्क,2,"बिल गेट्स और उनके बचपन के दोस्त पॉल एलन ने मिलकर 1975 में माइक्रोसॉफ्ट कंपनी की स्थापना की थी, जो विंडोज OS बनाती है।"
एप्पल (Apple) कंपनी के संस्थापक कौन हैं?,मार्क जुकरबर्ग,स्टीव जॉब्स (Steve Jobs),बिल गेट्स,सत्य नडेला,2,"स्टीव जॉब्स, स्टीव वोज्नियाक और रोनाल्ड वेन ने मिलकर 1976 में एप्पल कंपनी बनाई थी, जो Mac और iPhone के लिए जानी जाती है।"
आर्टिफिशियल इंटेलिजेंस (AI) का जनक किसे कहा जाता है?,जॉन मैकार्थी (John McCarthy),एलन ट्यूरिंग,चार्ल्स बैबेज,वॉन न्यूमैन,1,जॉन मैकार्थी (John McCarthy) ने ही सबसे पहले 1956 में 'आर्टिफिशियल इंटेलिजेंस' शब्द का प्रयोग किया था और इसके विकास में बड़ा योगदान दिया।
कंप्यूटर की स्क्रीन को तुरंत लॉक (Lock) करने की शॉर्टकट की क्या है?,Win + L,Ctrl + L,Alt + L,Shift + L,1,विंडोज की के साथ L (Win + L) दबाने से आपका कंप्यूटर तुरंत लॉक हो जाता है। यह प्राइवेसी के लिए एक बहुत अच्छी शॉर्टकट की है।
सभी खुली हुई विंडो को एक साथ मिनिमाइज़ (Minimize) करके डेस्कटॉप देखने की शॉर्टकट की क्या है?,Win + M,Win + D,Win + S,Win + E,2,Win + D दबाते ही स्क्रीन पर खुले सभी प्रोग्राम छिप (Minimize) जाते हैं और सीधा डेस्कटॉप दिखने लगता है।
फाइल या टेक्स्ट को खोजने (Find) के लिए किस शॉर्टकट की का इस्तेमाल होता है?,Ctrl + S,Ctrl + F,Ctrl + H,Ctrl + O,2,"MS Word, ब्राउज़र या किसी भी फाइल में कोई खास शब्द खोजने (Find) के लिए Ctrl + F दबाकर सर्च बॉक्स खोला जाता है।"
किसी शब्द को दूसरे शब्द से बदलने (Replace) की शॉर्टकट की क्या है?,Ctrl + R,Ctrl + F,Ctrl + H,Ctrl + X,3,MS Word में किसी गलत शब्द की जगह कोई नया शब्द एक साथ सभी जगह लिखने (Replace करने) के लिए Ctrl + H का इस्तेमाल करते हैं।
रेडू (Redo) करने की शॉर्टकट की क्या है?,Ctrl + R,Ctrl + Y,Ctrl + Z,Ctrl + X,2,अनडू (Ctrl + Z) की गई क्रिया को वापस लाने या उसी काम को दोहराने के लिए रेडू (Ctrl + Y) का इस्तेमाल किया जाता है।
टेक्स्ट को बोल्ड (Bold / मोटा) करने की शॉर्टकट की क्या है?,Ctrl + B,Ctrl + I,Ctrl + U,Ctrl + D,1,सिलेक्ट किए गए टेक्स्ट को डार्क और मोटा (Bold) करने के लिए कीबोर्ड से Ctrl + B कुंजियों का इस्तेमाल किया जाता है।
टेक्स्ट को इटैलिक (Italic / तिरछा) करने की शॉर्टकट की क्या है?,Ctrl + T,Ctrl + I,Ctrl + U,Ctrl + B,2,सिलेक्ट किए गए टेक्स्ट को थोड़ा तिरछा (Italic) डिज़ाइन देने के लिए Ctrl + I शॉर्टकट की का उपयोग होता है।
टेक्स्ट को अंडरलाइन (Underline) करने की शॉर्टकट की क्या है?,Ctrl + B,Ctrl + I,Ctrl + U,Ctrl + Shift + U,3,सिलेक्ट किए गए टेक्स्ट के नीचे एक लाइन खींचने (Underline करने) के लिए Ctrl + U का इस्तेमाल किया जाता है।
"कागज़ पर प्रिंट करने से पहले यह देखना कि प्रिंट कैसा दिखेगा (Print Preview), इसकी शॉर्टकट की क्या है?",Ctrl + P,Ctrl + F2,Ctrl + Shift + P,Alt + P,2,MS Word या Excel में प्रिंट करने से पहले उसका प्रीव्यू (Print Preview) देखने के लिए Ctrl + F2 की का इस्तेमाल किया जाता है।
कॉपी (Copy) या कट (Cut) किया गया डेटा पेस्ट होने से पहले अस्थायी रूप से कहाँ सेव रहता है?,RAM में,क्लिपबोर्ड (Clipboard) में,हार्ड डिस्क में,ROM में,2,"जब तक आप डेटा को पेस्ट (Paste) नहीं कर देते, तब तक वह कंप्यूटर की अस्थायी मेमोरी 'क्लिपबोर्ड' (Clipboard) में सुरक्षित रहता है।"
